max_gray_scale,min_gray_scale,mean_gray_scale,std_gray_scale,mean_luminance,std_luminance,mean_red,std_red,mean_green,std_green,mean_blue,std_blue,ntu
124,0,27.42260943,17.7047813,8.957638914,7.427572749,26.85897868,4.742200047,26.8912037,4.646679205,26.73281145,4.645430991,41
183,0,27.24158857,17.70870408,9.166580412,7.642579282,27.55450056,4.838607473,27.58908764,4.686121882,26.4534479,4.694294116,41
151,0,28.77085391,18.36544595,9.577762411,7.964203326,28.55190236,5.087720847,28.80400206,4.817737957,28.5669047,4.888858472,40
119,0,30.46401281,18.0007371,9.495427705,7.883746286,28.35991582,4.803596015,28.53133979,4.588861053,28.41206089,4.648073084,42
138,0,28.88313225,18.0634742,9.335132472,7.777281877,27.90821876,4.894741272,28.09589927,4.694546193,27.39505471,4.844680974,40
117,0,26.17792275,17.74293682,8.322811273,6.883515651,25.16534044,4.861607842,24.9398887,4.699926031,24.67138562,4.739441211,59
191,0,25.02452722,18.01230407,7.987210895,6.643874422,23.83183923,5.017814655,24.02330107,4.792205722,23.7329466,4.833256686,61
123,0,26.95592873,16.89174391,8.947680365,7.453598275,26.56585391,4.645461398,26.94002478,4.36270388,26.6985433,4.492647871,65
124,0,27.07826272,17.22271482,8.90205735,7.387312461,26.90817293,4.691179386,26.72066264,4.579811371,25.9678194,4.595028976,63
124,0,26.31697671,17.8555294,8.614902937,7.173568995,25.63061822,5.017549565,25.92962916,4.678687996,25.63391414,4.786799879,62
167,0,28.80110503,16.27471472,9.343696797,7.734867679,28.05154695,4.301828847,28.02480827,4.200497557,28.03308361,4.241003631,59
110,0,27.38489198,17.55902536,8.693832562,7.205943479,26.18024691,4.749100158,26.08672606,4.611807644,25.73892957,4.573989784,58
119,0,28.28203844,17.90269215,8.762944301,7.232502441,26.51171343,4.899313696,26.23071596,4.69093459,26.20823513,4.702297189,61
149,0,24.73087776,17.39847376,7.704577731,6.415799235,23.21883464,4.756557243,23.17082211,4.62131427,22.23873924,4.429700969,59
127,0,24.88289235,16.29902821,7.99654876,6.62549797,24.04922045,4.301751681,23.99200851,4.247594576,23.79082445,4.244970317,59
121,0,22.17040918,14.25745038,7.216432888,6.206211235,20.16250187,3.563842902,22.15658389,3.563855436,21.00224327,3.54927095,70
125,0,29.77469837,17.11464938,9.815750767,8.33585952,28.06976384,4.75566399,29.90754817,4.513777873,28.94379583,4.528096598,71
171,0,22.32156612,14.78082005,6.900859576,5.845201224,19.82532969,3.855926746,20.99312196,3.762212117,20.40765666,3.774866998,71
114,0,20.28120838,13.87363023,6.697321006,5.64443704,19.42688833,3.70574924,20.31130658,3.647558864,19.8775636,3.63807583,72
119,0,20.14740788,14.10726232,6.657865515,5.576779339,19.5460405,3.799041414,20.11502619,3.618201068,19.8316012,3.67859699,69
131,0,20.31482604,14.12930327,6.733504552,5.723123187,19.22469416,3.780806842,20.5268266,3.630474185,19.84151375,3.664681951,72
215,0,21.4739581,14.36796315,6.507604355,5.434368146,19.22989852,3.845487334,19.62332164,3.671820473,19.38970913,3.727598907,71
111,0,19.4507211,14.02949496,6.673903669,5.703811053,18.85421203,3.77576169,20.4137963,3.667329892,19.57560138,3.687085392,71
134,0,27.60304293,16.71547375,9.131865881,7.776874066,26.12215909,4.396311968,27.86281285,4.218893759,26.51721427,4.123581864,72
170,0,31.34405397,16.89821922,9.959966572,8.466757786,28.55466938,4.549936322,30.35787037,4.385567007,29.04748083,4.303904763,70
156,0,22.44751964,15.06035529,6.969187681,6.017449327,19.21765947,3.800832979,21.45527778,3.830579272,20.45808829,3.829417174,79
158,0,30.9109465,16.75946831,10.12756029,8.710871836,28.0433801,4.585606002,31.11088664,4.437249993,30.05750889,4.443416797,78
146,0,21.51576225,13.93412084,6.635526174,5.684694088,18.63464553,3.505059945,20.32770903,3.560082566,19.48026842,3.512760625,78
129,0,19.8806243,13.70774161,6.479290161,5.553026671,18.18004957,3.54603152,19.85396091,3.593933988,19.01993219,3.549215032,79
110,0,19.21086887,13.60125199,6.699482328,5.770108393,18.61020062,3.535962621,20.59097035,3.53317381,19.60188833,3.53316556,76
113,0,20.80547091,14.22414905,6.835430855,5.873212375,19.07796296,3.657491091,20.97825383,3.654514397,20.03698747,3.64534078,77
133,0,21.78071783,14.98843092,7.150541797,6.126603135,20.09672185,3.894428775,21.90578657,3.87021389,20.94243453,3.852986135,80
221,0,21.69547652,14.17323495,6.891234057,5.88261909,19.49207772,3.608350394,21.06458006,3.603828166,20.28114665,3.58017554,80
103,0,21.12802422,14.94020333,7.353149827,6.305450278,20.60962776,3.883238089,22.53928404,3.883940571,21.57543865,3.874369262,81
115,0,21.74526796,15.49323126,7.403454288,6.355823008,20.70116957,4.063602015,22.70946876,4.04300599,21.71027918,4.043942002,80
